protocol,hostname,topLevelDomain,primaryDomain,path,query,noOfQuery,ipaddress,hostnameLength,topLevelDomainLength,primaryDomainLength,pathLength,containsIp,no_of_dots,length_of_url,domainToken,pathToken,token_count,avg_token_length,path_token_count,avg_path_token,domain_token_count,largest_domain,avg_domain_token,malicious
http,05.sharedsource.org,org,sharedsource.org,,,0,35.186.238.101,19,3,16,0,0,2,26,"05,sharedsource,org",,3,5.666666666666667,0,0,3,12,5.666666666666667,0
http,05.sharedsource.org,org,sharedsource.org,,,0,0ac283764714nh82928198.win,19,3,16,0,1,1,33,"05,sharedsource,org",,0,0,0,0,0,0,0,0
http,05.sharedsource.org,org,sharedsource.org,,,0,0as24416391664740235.win,19,3,16,0,1,1,31,"05,sharedsource,org",,0,0,0,0,0,0,0,0
http,05.sharedsource.org,org,sharedsource.org,,,0,0as24955224914666378.win,19,3,16,0,1,1,31,"05,sharedsource,org",,0,0,0,0,0,0,0,0
http,05.sharedsource.org,org,sharedsource.org,,,0,10-10.com,19,3,16,0,1,1,16,"05,sharedsource,org",,0,0,0,0,0,0,0,0
http,05.sharedsource.org,org,sharedsource.org,,,0,10d4xiudxg1rffcdmv81wecu0e.net,19,3,16,0,1,1,37,"05,sharedsource,org",,0,0,0,0,0,0,0,0
http,12-land.co.jp,co.jp,12-land.co.jp,,,0,64.56.177.76,13,5,13,0,0,2,20,"12-land,co,jp",,3,3.6666666666666665,0,0,3,7,3.6666666666666665,0
http,12-land.co.jp,co.jp,12-land.co.jp,,,0,13207303642.aircq.com,13,5,13,0,1,2,28,"12-land,co,jp",,0,0,0,0,0,0,0,0
http,12-land.co.jp,co.jp,12-land.co.jp,,,0,1406905097.fzkjxy.com,13,5,13,0,1,2,28,"12-land,co,jp",,0,0,0,0,0,0,0,0
http,12-land.co.jp,co.jp,12-land.co.jp,,,0,1409790774.notentop.com,13,5,13,0,1,2,30,"12-land,co,jp",,0,0,0,0,0,0,0,0
http,12-land.co.jp,co.jp,12-land.co.jp,,,0,1409834260.notentop.com,13,5,13,0,1,2,30,"12-land,co,jp",,0,0,0,0,0,0,0,0
http,12-land.co.jp,co.jp,12-land.co.jp,,,0,1551929967477.usercash.com,13,5,13,0,1,2,33,"12-land,co,jp",,0,0,0,0,0,0,0,0
http,12-land.co.jp,co.jp,12-land.co.jp,,,0,183dv.com,13,5,13,0,1,1,16,"12-land,co,jp",,0,0,0,0,0,0,0,0
http,1energy.sk,sk,1energy.sk,,,0,37.9.175.22,10,2,10,0,0,1,17,"1energy,sk",,2,4.5,0,0,2,7,4.5,0
