,hostnameLength,topLevelDomainLength,primaryDomainLength,containsIp,no_of_dots,length_of_url,token_count,avg_token_length,path_token_count,avg_path_token,domain_token_count,largest_domain,avg_domain_token
766,22,3,10,0,3,77,7,17.416666666666668,4,10.75,3,11,6.666666666666668
598,8,3,8,0,1,15,2,3.5,0,0.0,2,4,3.5
217,22,3,22,0,1,29,2,10.5,0,0.0,2,18,10.5
630,21,2,5,0,2,28,3,6.333333333333332,0,0.0,3,15,6.333333333333332
928,23,3,23,0,1,31,2,11.0,0,0.0,2,19,11.0
708,21,3,21,0,2,44,3,14.0,1,4.0,2,17,10.0
906,18,3,18,0,1,26,2,8.5,0,0.0,2,14,8.5
502,16,2,16,0,1,23,2,7.5,0,0.0,2,13,7.5
648,9,3,9,0,1,16,2,4.0,0,0.0,2,5,4.0
831,15,3,10,0,2,23,3,4.333333333333333,0,0.0,3,6,4.333333333333333
842,14,3,8,0,3,63,6,12.0,3,8.0,3,5,4.0
150,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
731,20,3,13,0,2,28,3,6.0,0,0.0,3,9,6.0
62,22,3,18,0,2,29,3,6.666666666666668,0,0.0,3,14,6.666666666666668
275,27,3,17,0,2,34,3,8.333333333333334,0,0.0,3,13,8.333333333333334
685,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
747,18,3,18,0,1,26,2,8.5,0,0.0,2,14,8.5
920,14,3,7,0,2,94,7,11.5,4,7.5,3,6,4.0
396,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
527,39,3,28,0,2,46,3,12.333333333333336,0,0.0,3,24,12.333333333333336
843,17,2,17,0,1,33,4,11.0,2,3.0,2,14,8.0
238,11,2,11,1,1,43,0,0.0,0,0.0,0,0,0.0
119,22,3,11,1,1,40,0,0.0,0,0.0,0,0,0.0
300,32,2,17,0,2,39,3,10.0,0,0.0,3,14,10.0
258,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
627,15,6,15,0,2,22,3,4.333333333333333,0,0.0,3,8,4.333333333333333
158,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
197,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
138,23,2,23,0,1,30,2,11.0,0,0.0,2,20,11.0
570,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
559,23,3,23,0,1,30,2,11.0,0,0.0,2,19,11.0
239,16,3,12,0,2,23,3,4.666666666666667,0,0.0,3,8,4.666666666666667
441,20,2,8,0,2,27,3,6.0,0,0.0,3,11,6.0
420,18,3,18,1,2,29,0,0.0,0,0.0,0,0,0.0
572,19,2,19,0,1,26,2,9.0,0,0.0,2,16,9.0
849,17,3,17,0,2,35,3,15.0,1,7.0,2,13,8.0
93,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
260,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
176,18,2,18,0,1,25,2,8.5,0,0.0,2,15,8.5
483,11,2,8,0,2,18,3,3.0,0,0.0,3,5,3.0
4,19,3,16,1,1,16,0,0.0,0,0.0,0,0,0.0
34,10,3,10,1,2,37,0,0.0,0,0.0,0,0,0.0
746,17,3,8,0,2,25,3,5.0,0,0.0,3,8,5.0
862,18,3,18,0,1,26,2,8.5,0,0.0,2,14,8.5
982,23,3,15,0,2,64,8,13.2,5,6.2,3,11,7.0
100,16,6,16,0,2,23,3,4.666666666666667,0,0.0,3,9,4.666666666666667
283,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
77,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
227,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
551,24,6,24,0,2,31,3,7.333333333333332,0,0.0,3,17,7.333333333333332
759,22,3,22,0,1,30,2,10.5,0,0.0,2,18,10.5
816,13,3,13,0,1,21,2,6.0,0,0.0,2,9,6.0
139,22,2,22,0,1,29,2,10.5,0,0.0,2,19,10.5
626,19,3,13,0,2,26,3,5.666666666666668,0,0.0,3,9,5.666666666666668
127,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
469,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
50,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
169,13,4,13,0,1,20,2,6.0,0,0.0,2,8,6.0
290,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
10,13,5,13,1,2,30,0,0.0,0,0.0,0,0,0.0
91,17,6,17,1,1,23,0,0.0,0,0.0,0,0,0.0
214,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
878,34,3,11,0,2,42,3,10.666666666666666,0,0.0,3,22,10.666666666666666
233,16,2,16,0,1,23,2,7.5,0,0.0,2,13,7.5
228,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
16,12,6,12,1,3,25,0,0.0,0,0.0,0,0,0.0
375,29,3,20,0,2,36,3,9.0,0,0.0,3,16,9.0
264,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
130,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
196,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
14,12,6,12,0,2,19,3,3.333333333333333,0,0.0,3,5,3.333333333333333
496,24,3,19,1,1,24,0,0.0,0,0.0,0,0,0.0
676,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
84,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
719,16,3,16,0,1,52,4,15.0,2,7.5,2,12,7.5
83,19,6,19,0,1,26,2,9.0,0,0.0,2,12,9.0
452,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
761,22,3,10,0,3,66,6,17.333333333333332,3,10.666666666666666,3,11,6.666666666666668
573,18,2,18,0,1,25,2,8.5,0,0.0,2,15,8.5
561,13,5,13,0,2,20,3,3.6666666666666665,0,0.0,3,7,3.6666666666666665
470,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
288,23,6,23,0,1,30,2,11.0,0,0.0,2,16,11.0
660,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
979,23,3,15,0,3,101,6,28.66666666666667,3,21.66666666666667,3,11,7.0
215,16,3,12,0,2,23,3,4.666666666666667,0,0.0,3,8,4.666666666666667
351,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
581,15,5,15,0,2,22,3,4.333333333333333,0,0.0,3,9,4.333333333333333
681,10,2,10,1,2,44,0,0.0,0,0.0,0,0,0.0
253,23,4,23,0,1,30,2,11.0,0,0.0,2,18,11.0
175,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
366,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
255,17,6,17,0,2,24,3,5.0,0,0.0,3,10,5.0
760,22,3,10,0,3,63,6,16.333333333333332,3,9.666666666666666,3,11,6.666666666666668
887,30,3,30,0,1,38,2,14.5,0,0.0,2,26,14.5
995,16,3,16,0,1,24,2,7.5,0,0.0,2,12,7.5
397,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
886,21,3,21,0,1,29,2,10.0,0,0.0,2,17,10.0
443,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
821,10,3,10,0,1,206,5,9.833333333333332,3,5.333333333333333,2,6,4.5
295,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
879,33,3,25,0,2,41,3,10.333333333333334,0,0.0,3,21,10.333333333333334
299,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
994,21,3,21,0,2,46,3,23.0,1,13.0,2,17,10.0
935,20,3,20,0,3,67,6,18.0,4,8.5,2,16,9.5
146,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
79,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
230,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
85,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
27,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
454,21,6,21,0,1,28,2,10.0,0,0.0,2,14,10.0
706,32,12,32,0,3,92,6,14.666666666666668,3,4.666666666666667,3,19,10.0
966,37,12,37,0,2,45,3,11.666666666666664,0,0.0,3,24,11.666666666666664
21,36,3,21,1,3,26,0,0.0,0,0.0,0,0,0.0
107,20,3,20,0,1,27,2,9.5,0,0.0,2,16,9.5
899,33,3,13,0,2,41,3,10.333333333333334,0,0.0,3,19,10.333333333333334
271,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
820,10,3,10,0,1,220,5,7.833333333333334,3,3.333333333333333,2,6,4.5
368,20,3,20,0,1,27,2,9.5,0,0.0,2,16,9.5
426,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
619,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
779,13,3,13,0,1,105,5,14.0,3,8.0,2,9,6.0
164,27,3,10,0,2,34,3,8.333333333333334,0,0.0,3,16,8.333333333333334
430,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
380,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
328,24,3,17,0,3,31,4,5.25,0,0.0,4,13,5.25
640,9,3,9,0,1,16,2,4.0,0,0.0,2,5,4.0
213,21,3,21,0,1,28,2,10.0,0,0.0,2,17,10.0
950,29,12,29,0,2,37,3,9.0,0,0.0,3,16,9.0
695,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
500,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
730,31,12,31,0,2,39,3,9.666666666666666,0,0.0,3,18,9.666666666666666
734,18,3,18,0,1,26,2,8.5,0,0.0,2,14,8.5
76,11,2,11,1,1,27,0,0.0,0,0.0,0,0,0.0
594,21,3,21,0,1,28,2,10.0,0,0.0,2,17,10.0
279,20,2,20,0,1,27,2,9.5,0,0.0,2,17,9.5
830,25,12,25,0,2,33,3,7.666666666666668,0,0.0,3,12,7.666666666666668
456,20,6,20,0,1,27,2,9.5,0,0.0,2,13,9.5
739,18,3,12,0,2,26,3,5.333333333333333,0,0.0,3,8,5.333333333333333
591,17,3,11,0,2,24,3,5.0,0,0.0,3,7,5.0
705,32,12,32,0,3,85,6,14.333333333333332,3,4.333333333333333,3,19,10.0
832,20,3,10,0,2,28,3,6.0,0,0.0,3,9,6.0
919,17,3,10,0,2,25,3,5.0,0,0.0,3,6,5.0
223,8,2,8,1,2,29,0,0.0,0,0.0,0,0,0.0
112,18,3,8,0,2,25,3,5.333333333333333,0,0.0,3,9,5.333333333333333
142,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
726,12,3,12,0,2,46,5,12.833333333333332,3,7.333333333333332,2,8,5.5
557,15,3,15,1,2,43,0,0.0,0,0.0,0,0,0.0
28,12,3,12,1,1,19,0,0.0,0,0.0,0,0,0.0
866,22,12,22,0,2,30,3,6.666666666666668,0,0.0,3,9,6.666666666666668
645,24,2,11,0,2,31,3,7.333333333333332,0,0.0,3,12,7.333333333333332
620,16,6,16,0,1,23,2,7.5,0,0.0,2,9,7.5
694,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
870,35,3,19,0,2,43,3,11.0,0,0.0,3,15,11.0
67,19,3,19,0,1,26,2,9.0,0,0.0,2,15,9.0
786,15,3,12,0,2,23,3,4.333333333333333,0,0.0,3,8,4.333333333333333
131,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
762,22,3,10,0,3,67,6,17.666666666666668,3,11.0,3,11,6.666666666666668
325,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
712,20,3,14,0,2,28,3,6.0,0,0.0,3,10,6.0
339,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
544,24,3,14,0,2,31,3,7.333333333333332,0,0.0,3,10,7.333333333333332
577,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
858,23,3,23,0,2,45,3,22.0,1,11.0,2,19,11.0
721,16,3,16,0,1,41,4,16.5,2,9.0,2,12,7.5
815,17,3,17,0,2,202,28,13.730769230769232,26,5.730769230769232,2,13,8.0
624,31,3,31,0,1,38,2,15.0,0,0.0,2,27,15.0
167,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
195,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
576,12,2,6,0,2,19,3,3.333333333333333,0,0.0,3,5,3.333333333333333
522,18,6,18,0,2,25,3,5.333333333333333,0,0.0,3,11,5.333333333333333
987,18,3,9,0,3,110,7,13.833333333333332,4,8.5,3,8,5.333333333333333
603,22,3,22,0,1,29,2,10.5,0,0.0,2,18,10.5
932,18,3,18,0,1,64,6,12.25,4,3.75,2,14,8.5
593,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
116,12,6,12,0,2,19,3,3.333333333333333,0,0.0,3,5,3.333333333333333
43,8,3,8,1,2,29,0,0.0,0,0.0,0,0,0.0
276,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
