protocol,hostname,topLevelDomain,primaryDomain,path,query,noOfQuery,ipaddress,hostnameLength,topLevelDomainLength,primaryDomainLength,pathLength,containsIp,no_of_dots,length_of_url,domainToken,pathToken,token_count,avg_token_length,path_token_count,avg_path_token,domain_token_count,largest_domain,avg_domain_token,malicious,registrar,whoisServer,nameServer,country,name,creationDate,expiration,age
http,diaryofagameaddict.com,com,diaryofagameaddict.com,,,0,208.76.86.134,22,3,22,0,0,1,29,"diaryofagameaddict,com",,2,10.5,0,0,2,18,10.5,bad,"GoDaddy.com, LLC",whois.godaddy.com,"['NS1', 'TOTALCHOICEHOSTING', 'COM', 'NS2', 'TOTALCHOICEHOSTING', 'COM']",SG,,2007-01-22 08:48:01,,
http,espdesign.com.au,com.au,espdesign.com.au,,,0,184.106.55.19,16,6,16,0,0,2,23,"espdesign,com,au",,3,4.666666666666667,0,0,3,9,4.666666666666667,bad,Melbourne IT Ltd,,,,,,,
http,iamagameaddict.com,com,iamagameaddict.com,,,0,208.76.86.134,18,3,18,0,0,1,25,"iamagameaddict,com",,2,8.5,0,0,2,14,8.5,bad,"GoDaddy.com, LLC",whois.godaddy.com,"['NS1', 'TOTALCHOICEHOSTING', 'COM', 'NS2', 'TOTALCHOICEHOSTING', 'COM']",SG,,2007-01-22 08:48:01,,
http,kalantzis.net,net,kalantzis.net,,,0,208.76.86.134,13,3,13,0,0,1,20,"kalantzis,net",,2,6.0,0,0,2,9,6.0,bad,,,,,,,,
http,slightlyoffcenter.net,net,slightlyoffcenter.net,,,0,208.76.80.77,21,3,21,0,0,1,28,"slightlyoffcenter,net",,2,10.0,0,0,2,17,10.0,bad,"GoDaddy.com, LLC",whois.godaddy.com,"['NS1', 'TOTALCHOICEHOSTING', 'COM', 'NS2', 'TOTALCHOICEHOSTING', 'COM']",US,,2004-02-18 07:33:29,,
http,toddscarwash.com,com,toddscarwash.com,,,0,166.62.109.21,16,3,16,0,0,1,23,"toddscarwash,com",,2,7.5,0,0,2,12,7.5,bad,Moniker Online Services LLC,whois.moniker.com,"['NS19', 'DOMAINCONTROL', 'COM', 'NS20', 'DOMAINCONTROL', 'COM', 'ns19', 'domaincontrol', 'com', 'ns20', 'domaincontrol', 'com']",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2007-06-15 18:17:57,,
http,tubemoviez.com,com,tubemoviez.com,,,0,104.27.130.151,14,3,14,0,0,1,21,"tubemoviez,com",,2,6.5,0,0,2,10,6.5,bad,"DNC Holdings, Inc",whois.directnic.com,"['NELLY', 'NS', 'CLOUDFLARE', 'COM', 'NILE', 'NS', 'CLOUDFLARE', 'COM']",US,,2011-01-23 11:34:08,2020-01-23 11:34:08,2915
http,ipl.hk,hk,ipl.hk,,,0,77.232.66.18,6,2,6,0,0,1,13,"ipl,hk",,2,2.5,0,0,2,3,2.5,bad,,,,,,,,
http,crackspider.us,us,crackspider.us,/toolbar/install.php,pack=exe,1,46.166.185.216,14,2,14,28,0,2,50,"crackspider,us","/toolbar,/install,pack,exe",6,12.25,4,5.75,2,11,6.5,bad,,,,,,,,
http,pos-kupang.com,com,pos-kupang.com,/,,0,46.166.185.216,14,3,14,1,0,1,22,"pos-kupang,com",,2,6.5,0,0,2,10,6.5,bad,"ENOM, INC.",WHOIS.ENOM.COM,"['DNS1', 'MASTERWEB', 'NET', 'DNS2', 'MASTERWEB', 'NET']",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2008-04-18 08:32:56,,
