protocol,hostname,topLevelDomain,primaryDomain,path,query,noOfQuery,ipaddress,hostnameLength,topLevelDomainLength,primaryDomainLength,pathLength,containsIp,no_of_dots,length_of_url,domainToken,pathToken,token_count,avg_token_length,path_token_count,avg_path_token,domain_token_count,largest_domain,avg_domain_token,malicious,registrar,whoisServer,nameServer,country,name,creationDate,expiration,age
http,google.com,com,google.com,,,0,172.217.31.206,10,3,10,0,0,1,17,"google,com",,2,4.5,0,0,2,6,4.5,0,"MarkMonitor, Inc.",whois.markmonitor.com,"['NS1', 'GOOGLE', 'COM', 'NS2', 'GOOGLE', 'COM', 'NS3', 'GOOGLE', 'COM', 'NS4', 'GOOGLE', 'COM', 'ns3', 'google', 'com', 'ns4', 'google', 'com', 'ns2', 'google', 'com', 'ns1', 'google', 'com']",US,,1997-09-15 04:00:00,2020-09-14 04:00:00,7793
http,facebook.com,com,facebook.com,,,0,31.13.79.35,12,3,12,0,0,1,19,"facebook,com",,2,5.5,0,0,2,8,5.5,0,"RegistrarSafe, LLC",whois.registrarsafe.com,"['A', 'NS', 'FACEBOOK', 'COM', 'B', 'NS', 'FACEBOOK', 'COM']",US,Domain Admin,1997-03-29 05:00:00,,
http,youtube.com,com,youtube.com,,,0,172.217.167.142,11,3,11,0,0,1,18,"youtube,com",,2,5.0,0,0,2,7,5.0,0,"MarkMonitor, Inc.",whois.markmonitor.com,"['NS1', 'GOOGLE', 'COM', 'NS2', 'GOOGLE', 'COM', 'NS3', 'GOOGLE', 'COM', 'NS4', 'GOOGLE', 'COM', 'ns2', 'google', 'com', 'ns1', 'google', 'com', 'ns3', 'google', 'com', 'ns4', 'google', 'com']",US,,2005-02-15 05:13:12,2020-02-15 05:13:12,5083
http,yahoo.com,com,yahoo.com,,,0,98.137.246.7,9,3,9,0,0,1,16,"yahoo,com",,2,4.0,0,0,2,5,4.0,0,"MarkMonitor, Inc.",whois.markmonitor.com,"['NS1', 'YAHOO', 'COM', 'NS2', 'YAHOO', 'COM', 'NS3', 'YAHOO', 'COM', 'NS4', 'YAHOO', 'COM', 'NS5', 'YAHOO', 'COM', 'ns1', 'yahoo', 'com', 'ns4', 'yahoo', 'com', 'ns2', 'yahoo', 'com', 'ns3', 'yahoo', 'com', 'ns5', 'yahoo', 'com']",US,Domain Admin,1995-01-18 05:00:00,2023-01-19 05:00:00,8764
http,baidu.com,com,baidu.com,,,0,220.181.57.216,9,3,9,0,0,1,16,"baidu,com",,2,4.0,0,0,2,5,4.0,0,"MarkMonitor, Inc.",whois.markmonitor.com,"['DNS', 'BAIDU', 'COM', 'NS2', 'BAIDU', 'COM', 'NS3', 'BAIDU', 'COM', 'NS4', 'BAIDU', 'COM', 'NS7', 'BAIDU', 'COM', 'dns', 'baidu', 'com', 'ns2', 'baidu', 'com', 'ns7', 'baidu', 'com', 'ns4', 'baidu', 'com', 'ns3', 'baidu', 'com']",CN,,1999-10-11 11:05:17,2026-10-11 11:05:17,7037
http,wikipedia.org,org,wikipedia.org,,,0,103.102.166.224,13,3,13,0,0,1,20,"wikipedia,org",,2,6.0,0,0,2,9,6.0,0,"MarkMonitor, Inc.",whois.markmonitor.com,"['NS0', 'WIKIMEDIA', 'ORG', 'NS1', 'WIKIMEDIA', 'ORG', 'NS2', 'WIKIMEDIA', 'ORG', 'ns2', 'wikimedia', 'org', 'ns1', 'wikimedia', 'org', 'ns0', 'wikimedia', 'org']",US,,2001-01-13 00:12:14,2023-01-13 00:12:14,6577
http,qq.com,com,qq.com,,,0,111.161.64.48,6,3,6,0,0,1,13,"qq,com",,2,2.5,0,0,2,3,2.5,0,"MarkMonitor, Inc.",whois.markmonitor.com,"['NS1', 'QQ', 'COM', 'NS2', 'QQ', 'COM', 'NS3', 'QQ', 'COM', 'NS4', 'QQ', 'COM', 'ns3', 'qq', 'com', 'ns4', 'qq', 'com', 'ns1', 'qq', 'com', 'ns2', 'qq', 'com']",CN,,1995-05-04 04:00:00,2027-07-27 02:09:19,8658
http,linkedin.com,com,linkedin.com,,,0,108.174.10.10,12,3,12,0,0,1,19,"linkedin,com",,2,5.5,0,0,2,8,5.5,0,"MarkMonitor, Inc.",whois.markmonitor.com,"['DNS1', 'P09', 'NSONE', 'NET', 'DNS2', 'P09', 'NSONE', 'NET', 'DNS3', 'P09', 'NSONE', 'NET', 'DNS4', 'P09', 'NSONE', 'NET', 'NS1', 'P43', 'DYNECT', 'NET', 'NS2', 'P43', 'DYNECT', 'NET', 'NS3', 'P43', 'DYNECT', 'NET', 'NS4', 'P43', 'DYNECT', 'NET', 'dns1', 'p09', 'nsone', 'net', 'ns4', 'p43', 'dynect', 'net', 'ns1', 'p43', 'dynect', 'net', 'dns4', 'p09', 'nsone', 'net', 'ns2', 'p43', 'dynect', 'net', 'dns2', 'p09', 'nsone', 'net', 'dns3', 'p09', 'nsone', 'net', 'ns3', 'p43', 'dynect', 'net']",US,,2002-11-02 15:38:11,2020-11-02 15:38:11,5919
http,live.com,com,live.com,,,0,204.79.197.212,8,3,8,0,0,1,15,"live,com",,2,3.5,0,0,2,4,3.5,0,"CSC CORPORATE DOMAINS, INC.",whois.corporatedomains.com,"['NS1', 'MSFT', 'NET', 'NS2', 'MSFT', 'NET', 'NS3', 'MSFT', 'NET', 'NS4', 'MSFT', 'NET', 'ns2', 'msft', 'net', 'ns1', 'msft', 'net', 'ns3', 'msft', 'net', 'ns4', 'msft', 'net']",,Domain Administrator,1994-12-28 05:00:00,,
http,twitter.com,com,twitter.com,,,0,104.244.42.1,11,3,11,0,0,1,18,"twitter,com",,2,5.0,0,0,2,7,5.0,0,"CSC CORPORATE DOMAINS, INC.",whois.corporatedomains.com,"['A', 'R06', 'TWTRDNS', 'NET', 'B', 'R06', 'TWTRDNS', 'NET', 'C', 'R06', 'TWTRDNS', 'NET', 'D', 'R06', 'TWTRDNS', 'NET', 'D01-01', 'NS', 'TWTRDNS', 'NET', 'D01-02', 'NS', 'TWTRDNS', 'NET', 'NS3', 'P34', 'DYNECT', 'NET', 'NS4', 'P34', 'DYNECT', 'NET', 'b', 'r06', 'twtrdns', 'net', 'c', 'r06', 'twtrdns', 'net', 'd01-02', 'ns', 'twtrdns', 'net', 'd', 'r06', 'twtrdns', 'net', 'a', 'r06', 'twtrdns', 'net', 'd01-01', 'ns', 'twtrdns', 'net']",US,"Twitter, Inc.",2000-01-21 16:28:17,,
